Estado - Sigla,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AC,2.0300190514428063,2.2921338243414464,2.56568713034598,2.5433237802082003,2.594383754959024,2.599822609574614,2.6804985143596918,2.773883693531221,2.816743514502435,2.950246978048628,3.1806805859108485,3.5416700212392387,3.778639843992573,4.007339156639292,4.465271678322516,4.532286753908634,4.475667628255342
AL,1.6623235766741402,1.981951055938198,2.204728404633692,2.1778559370910298,2.1836906072219278,2.162997433143432,2.220680815888386,2.3566190668548583,2.355405845272959,2.511529869291153,2.646158745716901,2.9376226333039748,3.3300822208655516,3.3922759787906465,3.8540589237631244,3.967808377575004,3.878795660785142
AM,1.8128781318254772,2.1603397828700235,2.264545372190453,2.192881607467342,2.2187258335616065,2.289216492262171,2.348887849859283,2.4845640501866675,2.5419830027256225,2.6829788079953136,2.854230320683112,3.236997540666768,3.564049566549356,3.5792620154854875,3.9995174479272855,3.9572968037127465,3.896916192709121
AP,1.9215677437982723,2.1362115179676797,2.31736540638337,2.2793760552215785,2.3863785762968286,2.4179177665565015,2.481285925538145,2.5057621102286767,2.4988035871209444,2.6492198397305,2.872265579583546,3.2386808737739323,3.694452139959712,3.7312072096770956,4.085020326467831,4.1649925024351955,3.6472173451577907
BA,1.7108250912812863,1.9653892198186875,2.1541129755390376,2.092594705202746,2.12254531768372,2.1384766270553706,2.1826545644527915,2.276799882052852,2.288365219619415,2.4848080827521413,2.6162469190749906,2.959884732887865,3.250074569637775,3.2922203336697624,3.7837768824331803,3.857248820640183,3.720630360198192
CE,1.7485222388548285,1.9709853213083912,2.1891054151646925,2.14336738342052,2.1925503520092398,2.1868178538688374,2.2108396463717543,2.3137603544447307,2.325806031414255,2.54268239127353,2.6978560372666713,3.0622247813879833,3.447022737581594,3.471882411991948,3.9070023008021053,4.0192287354459,3.8911946764574328
DF,1.710594588739952,1.9344754618807167,2.142739041439278,2.0685375145246496,2.13689392122018,2.1783518008440383,2.247938028581963,2.369812107025375,2.3996158319022385,2.5581364301898892,2.722796657127409,3.066764931543709,3.361624818582987,3.4810431091483443,3.874844615538741,3.7825209676749143,3.749991193761988
ES,1.6103349400496705,1.8992990466157846,2.169561334157061,2.126451435408587,2.150239138476075,2.1822122196140903,2.250343043457487,2.4381205455037347,2.4783501157369763,2.5781622037975915,2.703485919630415,3.0059316985104867,3.285953389718022,3.406372780223305,3.795094097562485,3.8941056875272806,3.738419317033685
GO,1.62485994587391,1.880036917876979,2.066423684051971,1.9771974133294214,2.042660723718355,2.063777067628087,2.0762923293948385,2.288829781230022,2.2891932434243527,2.4217219447370297,2.621288652561776,2.9002890618259487,3.2027945191246467,3.2983221331507493,3.728630603511145,3.7249755772334665,3.6221679935706925
MA,1.739620219256509,2.013816723256803,2.271854047946556,2.235689662046524,2.2180096099120687,2.185930966366951,2.2001685955216717,2.321127406764689,2.3425548633862694,2.5147132294420285,2.6785154550555217,3.01354923624746,3.3145507217628056,3.320174221321298,3.76562749826278,3.933043558714903,3.770752937582252
MG,1.6199107825554135,1.8715068974264235,2.1127317081761534,2.038763719720456,2.0495519328271463,2.0642856727586536,2.1359016382821965,2.333551211420733,2.373396122413646,2.476214685943029,2.608541736985603,2.8854706327061486,3.18587182173622,3.272933350573028,3.791293861546431,3.8067279227369193,3.645200294735373
MS,1.7704140922743061,2.057481921278325,2.275498882221493,2.188951493784251,2.222805798023815,2.224800879319428,2.2470842281127323,2.367725430420536,2.4253618540521007,2.5896119075498127,2.715370755939693,2.982828913808114,3.2956214016515135,3.4413010835090745,3.7804446649815575,3.7737669636216884,3.7396192545116778
MT,1.8839658093447897,2.1552707668690148,2.3572225178268047,2.1874890698466283,2.168897823354036,2.176454401065083,2.255783050446926,2.3838318821785847,2.4392356796765,2.5548834527727218,2.705266527402275,2.9276185215541113,3.26238715226487,3.2865567062989713,3.720077402580669,3.7353654404094048,3.6521637556209336
PA,1.9276684451633503,2.1543521363563984,2.370396601402419,2.3435922408749725,2.4151471984202244,2.4152278932969704,2.433235418156129,2.5273283836522804,2.5125656243377614,2.733072706386719,2.898658213643704,3.2624166039202875,3.625986463104758,3.67145139961666,4.039603433736299,4.169409972229541,4.056852005340147
PB,1.6442800927425858,1.9037398089825195,2.1064497038658407,2.049059401202855,2.0623452726767892,2.0432570065941222,2.0883954717617055,2.214098399220884,2.2613244847910132,2.426260647871999,2.527744347662126,2.7969129600642253,3.2053545540439043,3.217628177444533,3.6354739462547188,3.742137366677616,3.565323013264389
PE,1.6375042267559479,1.8887100369797136,2.1343075337391584,2.0572005592422276,2.113685917399886,2.1087724780926607,2.158336748155166,2.2695632444750595,2.2859070698197774,2.465207897086218,2.5959551791385733,2.8927311807748692,3.2215926784860303,3.2200155070078806,3.697607285804441,3.779592035937356,3.693322848136237
PI,1.7721458342556597,2.0516900456998792,2.2278859495944303,2.2106938014772988,2.2244068193524376,2.2088919714762247,2.215089009473279,2.3484680349278637,2.338104193728581,2.500421593654091,2.64548392503667,3.026315174666659,3.347567797601367,3.3342649167974523,3.8521833577127493,3.9480524810904356,3.82573488277178
PR,1.5742664520406506,1.8190566820183465,2.0233435646554705,1.9177082944131096,1.945057246768119,1.99246434654549,2.053691473468158,2.2336931071427357,2.242056569302168,2.3770088244601197,2.5227032245166443,2.796377212592124,3.089348994371136,3.1397410423635455,3.527161624328823,3.527510548348718,3.4200506109162263
RJ,1.592770445480352,1.8364894227035313,2.063218458045349,1.995126239126523,2.054780097252369,2.06888276293267,2.1405636915216295,2.3419577571418273,2.3554863677678384,2.4836550224558334,2.6361849923300555,2.9623162467140514,3.3438120356379564,3.4673358084896115,3.8995029397488246,4.01432700512537,3.9795715741788182
RN,1.630023432864479,1.8862861077059554,2.0802928087346846,2.004013531879287,2.105602467212567,2.1202622102734283,2.173249517175172,2.2909479036523424,2.3061494447230175,2.4881339648678438,2.6819797155507503,2.9328436134178455,3.3227723177780053,3.358035110941282,3.7767478140406845,3.908505148867076,3.860988880245238
RO,1.8621790202174395,2.1278462060339915,2.3516813694708114,2.2769129737213323,2.303217757667529,2.299021877177649,2.362867746159207,2.519745060269959,2.5503803937214187,2.696331155091885,2.899545845954882,3.2297443669317003,3.5424662462835594,3.563703407562704,3.995171211311516,4.08259588559915,3.910815106642766
